Tiempo, Cabina1, Cabina2, 
1, vacio, vacio, 
2, vacio, vacio, 
3, vacio, vacio, 
4, vacio, vacio, 
5, vacio, vacio, 
6, vacio, vacio, 
7, vacio, vacio, 
8, vacio, vacio, 
9, vacio, vacio, 
10, vacio, vacio, 
11, EJECUTA SBS-5632 NORMAL, vacio, 
12, EJECUTA SBS-5632 NORMAL, vacio, 
13, vacio, EJECUTA AHN-6303 NORMAL, 
14, vacio, EJECUTA AHN-6303 NORMAL, 
15, vacio, vacio, 
16, vacio, vacio, 
17, EJECUTA TYC-9071 NORMAL, vacio, 
18, EJECUTA TYC-9071 NORMAL, vacio, 
19, vacio, vacio, 
20, vacio, vacio, 
21, vacio, vacio, 
22, vacio, vacio, 
23, vacio, vacio, 
24, vacio, vacio, 
25, EJECUTA JYC-7621 NORMAL, EJECUTA ZBS-5632 NORMAL, 
26, EJECUTA JYC-7621 NORMAL, EJECUTA ZBS-5632 NORMAL, 
27, vacio, vacio, 
28, vacio, vacio, 
29, vacio, vacio, 
30, EJECUTA XBS-5632 NORMAL, vacio, 
31, EJECUTA XBS-5632 NORMAL, EJECUTA CYC-9901 NORMAL, 
32, EJECUTA ABS-1253 NORMAL, EJECUTA CYC-9901 NORMAL, 
33, EJECUTA ABS-1253 NORMAL, vacio, 
34, vacio, vacio, 
35, vacio, vacio, 
36, vacio, vacio, 
37, vacio, vacio, 
38, vacio, vacio, 
39, vacio, vacio, 
40, vacio, vacio, 
41, vacio, vacio, 
42, EJECUTA CDA-6311 NORMAL, vacio, 
43, EJECUTA CDA-6311 NORMAL, vacio, 
44, vacio, vacio, 
45, vacio, vacio, 
46, vacio, vacio, 
47, vacio, EJECUTA LPA-0981 NORMAL, 
48, vacio, EJECUTA LPA-0981 NORMAL, 
49, vacio, vacio, 
50, EJECUTA FGS-8790 NORMAL, vacio, 
51, EJECUTA FGS-8790 NORMAL, vacio, 
52, vacio, vacio, 
53, vacio, vacio, 
54, vacio, vacio, 
55, vacio, vacio, 
56, vacio, vacio, 
57, vacio, vacio, 
58, vacio, vacio, 
59, vacio, vacio, 
60, EJECUTA AAA-0199 NORMAL, vacio, 
61, EJECUTA AAA-0199 NORMAL, vacio, 
62, vacio, EJECUTA SBD-1213 NORMAL, 
63, EJECUTA HGA-6352 NORMAL, EJECUTA SBD-1213 NORMAL, 
64, EJECUTA HGA-6352 NORMAL, vacio, 
65, vacio, vacio, 
66, vacio, vacio, 
67, vacio, vacio, 
68, vacio, vacio, 
69, vacio, vacio, 
70, EJECUTA UHS-0981 NORMAL, vacio, 
71, EJECUTA UHS-0981 NORMAL, vacio, 
72, vacio, vacio, 
73, vacio, vacio, 
74, vacio, vacio, 
75, vacio, vacio, 
76, vacio, vacio, 
77, vacio, vacio, 
78, vacio, EJECUTA KJA-3212 NORMAL, 
79, EJECUTA PLA-2316 NORMAL, EJECUTA KJA-3212 NORMAL, 
80, EJECUTA PLA-2316 NORMAL, vacio, 
81, vacio, vacio, 
82, EJECUTA OLP-5321 NORMAL, vacio, 
83, EJECUTA OLP-5321 NORMAL, vacio, 
84, vacio, vacio, 
85, vacio, EJECUTA ILP-1111 NORMAL, 
86, vacio, EJECUTA ILP-1111 NORMAL, 
87, vacio, vacio, 
88, vacio, vacio, 
89, vacio, vacio, 
90, EJECUTA QWE-7612 NORMAL, vacio, 
91, EJECUTA QWE-7612 NORMAL, vacio, 
92, vacio, vacio, 
