Tiempo, Cabina1, Cabina2, Cabina3, 
1, vacio, vacio, vacio, 
2, vacio, vacio, vacio, 
3, vacio, vacio, vacio, 
4, vacio, vacio, vacio, 
5, vacio, vacio, vacio, 
6, vacio, vacio, vacio, 
7, vacio, vacio, vacio, 
8, vacio, vacio, vacio, 
9, vacio, vacio, vacio, 
10, vacio, vacio, vacio, 
11, EJECUTA SBS-5632 EMERGENCIA, vacio, vacio, 
12, EJECUTA SBS-5632 EMERGENCIA, vacio, vacio, 
13, EJECUTA SBS-5632 EMERGENCIA, vacio, vacio, 
14, vacio, vacio, vacio, 
15, vacio, vacio, vacio, 
16, vacio, vacio, vacio, 
17, vacio, EJECUTA TYC-9071 NORMAL, vacio, 
18, vacio, EJECUTA TYC-9071 NORMAL, vacio, 
19, vacio, EJECUTA TYC-9071 NORMAL, vacio, 
20, vacio, vacio, vacio, 
21, vacio, vacio, vacio, 
22, vacio, vacio, vacio, 
23, EJECUTA AHN-6303 NORMAL, vacio, vacio, 
24, EJECUTA AHN-6303 NORMAL, vacio, vacio, 
25, EJECUTA AHN-6303 NORMAL, vacio, EJECUTA ZBS-5632 NORMAL, 
26, EJECUTA JYC-7621 NORMAL, vacio, EJECUTA ZBS-5632 NORMAL, 
27, EJECUTA JYC-7621 NORMAL, vacio, EJECUTA ZBS-5632 NORMAL, 
28, EJECUTA JYC-7621 NORMAL, vacio, vacio, 
29, vacio, vacio, vacio, 
30, vacio, EJECUTA XBS-5632 NORMAL, vacio, 
31, vacio, EJECUTA XBS-5632 NORMAL, EJECUTA ABS-1253 NORMAL, 
32, vacio, EJECUTA XBS-5632 NORMAL, EJECUTA ABS-1253 NORMAL, 
33, vacio, EJECUTA CYC-9901 NORMAL, EJECUTA ABS-1253 NORMAL, 
34, vacio, EJECUTA CYC-9901 NORMAL, vacio, 
35, vacio, EJECUTA CYC-9901 NORMAL, vacio, 
36, vacio, vacio, vacio, 
37, vacio, vacio, vacio, 
38, vacio, vacio, vacio, 
39, vacio, vacio, vacio, 
40, vacio, vacio, vacio, 
41, vacio, vacio, vacio, 
42, EJECUTA CDA-6311 EMERGENCIA, vacio, vacio, 
43, EJECUTA CDA-6311 EMERGENCIA, vacio, vacio, 
44, EJECUTA CDA-6311 EMERGENCIA, vacio, vacio, 
45, vacio, vacio, vacio, 
46, vacio, vacio, vacio, 
47, EJECUTA LPA-0981 NORMAL, vacio, vacio, 
48, EJECUTA LPA-0981 NORMAL, vacio, vacio, 
49, EJECUTA LPA-0981 NORMAL, vacio, vacio, 
50, vacio, vacio, vacio, 
51, vacio, vacio, vacio, 
52, vacio, vacio, vacio, 
53, vacio, vacio, vacio, 
54, vacio, vacio, vacio, 
55, vacio, EJECUTA FGS-8790 NORMAL, vacio, 
56, vacio, EJECUTA FGS-8790 NORMAL, vacio, 
57, vacio, EJECUTA FGS-8790 NORMAL, vacio, 
58, vacio, vacio, vacio, 
59, vacio, vacio, vacio, 
60, EJECUTA AAA-0199 NORMAL, vacio, vacio, 
61, EJECUTA AAA-0199 NORMAL, vacio, vacio, 
62, EJECUTA AAA-0199 NORMAL, vacio, EJECUTA SBD-1213 NORMAL, 
63, ESPERANDO POR UHS-0981 EMERGENCIA, vacio, EJECUTA SBD-1213 NORMAL, 
64, ESPERANDO POR UHS-0981 EMERGENCIA, vacio, EJECUTA SBD-1213 NORMAL, 
65, ESPERANDO POR UHS-0981 EMERGENCIA, vacio, vacio, 
66, ESPERANDO POR UHS-0981 EMERGENCIA, vacio, vacio, 
67, ESPERANDO POR UHS-0981 EMERGENCIA, vacio, vacio, 
68, ESPERANDO POR UHS-0981 EMERGENCIA, vacio, vacio, 
69, ESPERANDO POR UHS-0981 EMERGENCIA, vacio, vacio, 
70, EJECUTA UHS-0981 EMERGENCIA, vacio, vacio, 
71, EJECUTA UHS-0981 EMERGENCIA, vacio, vacio, 
72, EJECUTA UHS-0981 EMERGENCIA, vacio, vacio, 
73, EJECUTA HGA-6352 NORMAL, vacio, vacio, 
74, EJECUTA HGA-6352 NORMAL, vacio, vacio, 
75, EJECUTA HGA-6352 NORMAL, vacio, vacio, 
76, vacio, vacio, vacio, 
77, vacio, vacio, vacio, 
78, vacio, EJECUTA KJA-3212 NORMAL, vacio, 
79, vacio, EJECUTA KJA-3212 NORMAL, EJECUTA PLA-2316 NORMAL, 
80, vacio, EJECUTA KJA-3212 NORMAL, EJECUTA PLA-2316 NORMAL, 
81, vacio, vacio, EJECUTA PLA-2316 NORMAL, 
82, vacio, vacio, vacio, 
83, vacio, vacio, vacio, 
84, vacio, vacio, vacio, 
85, vacio, EJECUTA ILP-1111 NORMAL, vacio, 
86, vacio, EJECUTA ILP-1111 NORMAL, vacio, 
87, vacio, EJECUTA ILP-1111 NORMAL, vacio, 
88, vacio, vacio, vacio, 
89, EJECUTA OLP-5321 NORMAL, vacio, vacio, 
90, EJECUTA OLP-5321 NORMAL, vacio, EJECUTA QWE-7612 NORMAL, 
91, EJECUTA OLP-5321 NORMAL, vacio, EJECUTA QWE-7612 NORMAL, 
92, vacio, vacio, EJECUTA QWE-7612 NORMAL, 
93, vacio, vacio, vacio, 
